Created at:,25-Apr-24,,,,,,,,,,,,,,,,,
Applied Filters:,,,,,,,,,,,,,,,,,,
Area Median Income,0 - 30%; 30 - 60%; 60 - 80%; 80 - 100%; 100%+,,,,,,,,,,,,,,,,,
Building Age,Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 09; 2010+,,,,,,,,,,,,,,,,,
Heating Fuel Type,Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None,,,,,,,,,,,,,,,,,
Building Type,1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer,,,,,,,,,,,,,,,,,
Rent/Own,Renter-occupied; Owner-occupied,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State,Geography ID,Name,Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
Alabama,01001,Autauga County,3,2209,21559,78076,20,0,1,0,2,74,3,1,11,29,29,32
Alabama,01003,Baldwin County,2,1751,84047,86023,9,1,1,0,3,83,3,2,8,25,32,36
Alabama,01005,Barbour County,4,2060,9322,51902,48,0,0,0,1,45,2,3,23,35,28,14
Alabama,01007,Bibb County,4,2484,7259,63840,23,0,0,0,2,74,1,0,19,44,24,12
Alabama,01009,Blount County,3,2293,21205,65582,1,0,0,0,7,87,2,2,16,34,35,14
Alabama,01011,Bullock County,4,2248,3429,53297,69,0,1,0,5,21,1,3,21,38,28,13
Alabama,01013,Butler County,4,2311,6649,63403,45,0,1,0,0,51,2,0,11,43,29,17
Alabama,01015,Calhoun County,3,2232,44572,66869,21,0,1,0,2,72,2,2,12,32,35,21
Alabama,01017,Chambers County,4,2058,13582,56831,40,0,1,0,2,55,1,1,17,35,33,15
Alabama,01019,Cherokee County,4,2169,10836,60967,5,1,0,0,1,91,2,1,17,38,30,15
Alabama,01021,Chilton County,3,2207,17140,66348,10,1,0,0,2,80,3,4,17,41,27,15
Alabama,01023,Choctaw County,3,1807,5330,55717,42,0,0,0,0,56,0,0,18,36,36,10
Alabama,01025,Clarke County,3,1838,9323,58224,46,0,0,0,0,52,1,0,16,42,28,15
Alabama,01027,Clay County,4,2283,5153,59374,15,0,0,0,3,80,1,0,18,37,35,10
Alabama,01029,Cleburne County,4,2312,5835,59995,3,0,0,0,1,93,2,2,15,40,30,15
Alabama,01031,Coffee County,3,1976,19951,71999,17,1,2,0,5,70,4,1,12,23,39,26
Alabama,01033,Colbert County,3,1763,21797,61855,16,1,1,0,1,78,2,2,13,36,33,18
Alabama,01035,Conecuh County,4,2211,4585,51218,48,0,1,0,0,50,1,0,16,44,26,14
Alabama,01037,Coosa County,4,2162,4016,60705,32,0,0,0,1,65,1,1,12,41,32,15
Alabama,01039,Covington County,3,2013,14995,60446,13,0,1,0,1,83,2,0,13,34,35,18
Alabama,01041,Crenshaw County,3,2020,5011,59798,24,1,1,0,1,71,2,0,22,36,23,19
Alabama,01043,Cullman County,3,1963,31733,64360,1,0,0,0,3,91,3,1,17,30,37,16
Alabama,01045,Dale County,3,1896,19405,59950,21,1,1,0,3,68,3,2,12,30,39,19
Alabama,01047,Dallas County,5,2566,15409,49033,71,0,1,0,0,27,0,0,17,35,32,15
Alabama,01049,DeKalb County,3,1894,26365,57969,2,1,0,0,5,80,4,9,21,33,33,14
Alabama,01051,Elmore County,3,2195,29794,80851,21,0,1,0,2,73,2,1,10,29,33,28
Alabama,01053,Escambia County,4,1783,12931,48737,32,4,0,0,2,60,2,0,17,43,26,15
Alabama,01055,Etowah County,4,2235,38765,62671,16,1,1,0,2,78,2,1,14,30,37,18
Alabama,01057,Fayette County,4,2229,6805,56741,12,0,1,0,0,84,2,0,15,41,30,13
Alabama,01059,Franklin County,4,2072,11017,58946,4,1,1,0,6,76,2,10,20,38,27,15
Alabama,01061,Geneva County,4,2049,10572,57094,10,1,0,0,3,83,2,1,18,35,33,14
Alabama,01063,Greene County,5,2045,3178,41659,79,0,0,0,0,17,3,0,19,37,32,12
Alabama,01065,Hale County,4,2275,5490,50738,59,0,0,0,0,38,2,0,21,37,29,13
Alabama,01067,Henry County,3,2012,6556,65623,27,0,0,0,1,69,2,1,19,28,35,17
Alabama,01069,Houston County,2,1705,39784,68749,27,0,1,0,2,66,3,1,12,28,34,25
Alabama,01071,Jackson County,3,1890,20367,57945,4,1,0,0,2,89,3,1,16,37,30,17
Alabama,01073,Jefferson County,3,2234,263801,82914,43,0,2,0,2,50,2,2,8,25,32,36
Alabama,01075,Lamar County,4,2111,5631,55230,11,0,0,0,1,86,1,0,19,37,34,11
Alabama,01077,Lauderdale County,3,1843,38513,65874,10,0,1,0,2,84,2,0,10,33,32,25
Alabama,01079,Lawrence County,3,2187,12551,64727,11,6,0,0,2,77,4,0,20,40,25,16
Alabama,01081,Lee County,2,1899,60731,76559,23,0,4,0,3,67,2,1,7,19,36,38
Alabama,01083,Limestone County,2,1757,32725,81915,14,1,1,0,3,76,3,2,13,24,32,31
Alabama,01085,Lowndes County,5,2507,4213,50819,75,0,0,0,0,25,0,0,17,40,29,14
Alabama,01087,Macon County,5,2819,7592,53069,82,0,0,0,0,16,1,0,13,27,37,23
Alabama,01089,Madison County,2,1715,151628,92166,25,1,3,0,3,64,3,2,7,17,28,47
Alabama,01091,Marengo County,4,2166,7499,56734,52,0,0,0,2,45,1,0,11,37,32,20
Alabama,01093,Marion County,4,2083,11780,54211,4,0,0,0,1,91,2,2,19,30,37,14
Alabama,01095,Marshall County,3,1786,35115,67968,3,0,1,0,10,80,4,2,16,29,33,22
Alabama,01097,Mobile County,3,2204,157557,68316,36,1,2,0,1,57,2,1,11,30,33,26
Alabama,01099,Monroe County,4,1963,8050,52134,42,1,1,0,0,54,1,0,19,43,24,14
Alabama,01101,Montgomery County,3,2076,89511,72816,58,0,3,0,2,33,3,1,11,21,32,37
Alabama,01103,Morgan County,3,2003,46388,72397,13,0,1,0,3,75,3,4,15,30,33,22
Alabama,01105,Perry County,6,2193,3140,34934,69,0,0,0,0,29,0,1,25,37,20,17
Alabama,01107,Pickens County,4,2325,7731,58677,40,0,0,0,3,54,1,1,16,39,30,14
Alabama,01109,Pike County,3,1989,11700,59939,37,0,2,0,2,56,2,0,11,30,26,33
Alabama,01111,Randolph County,4,2179,8655,59318,19,0,0,0,2,75,2,1,15,40,27,18
Alabama,01113,Russell County,3,1963,23694,59346,45,0,1,0,3,45,3,3,16,27,39,17
Alabama,01115,St. Clair County,3,2274,32765,74192,9,1,1,0,1,86,1,1,11,32,37,20
Alabama,01117,Shelby County,2,2263,80756,106552,12,0,2,0,2,77,3,3,6,17,30,48
Alabama,01119,Sumter County,5,2227,5355,42422,71,0,2,0,0,25,1,0,14,31,38,17
Alabama,01121,Talladega County,4,2377,31741,58852,32,0,1,0,1,62,2,1,17,32,35,16
Alabama,01123,Tallapoosa County,4,2265,16359,61868,28,0,0,0,1,69,1,1,16,33,30,20
Alabama,01125,Tuscaloosa County,3,2085,74713,73999,32,0,2,0,2,61,2,1,8,28,31,33
Alabama,01127,Walker County,4,2265,25440,62053,6,0,0,0,1,88,3,1,17,35,34,13
Alabama,01129,Washington County,3,1788,5830,66590,24,7,0,0,1,65,2,0,14,41,29,17
Alabama,01131,Wilcox County,4,2185,3961,48922,70,0,0,0,0,27,2,0,22,42,24,12
Alabama,01133,Winston County,4,2124,9612,56162,1,0,0,0,2,94,2,1,20,38,29,13
Alaska,02013,Aleutians East Borough,10,8987,988,85800,4,41,24,0,1,13,11,5,14,35,34,17
Alaska,02016,Aleutians West Census Area,13,12887,1306,96821,3,11,41,3,3,23,10,6,7,38,37,19
Alaska,02020,Anchorage Municipality,2,2860,106970,114713,5,8,10,3,4,57,11,2,5,20,36,39
Alaska,02050,Bethel Census Area,8,5722,4499,73396,1,83,1,0,1,9,4,0,16,39,29,16
Alaska,02060,Bristol Bay Borough,11,10910,284,96582,1,30,2,1,4,48,11,3,8,23,44,25
Alaska,02063,Chugach Census Area,5,5019,2310,106584,1,6,6,1,2,73,7,3,3,17,50,30
Alaska,02066,Copper River Census Area,7,6570,1063,89936,0,28,1,0,0,57,13,0,7,30,35,28
Alaska,02068,Denali Borough,4,3793,726,92827,2,2,2,0,0,81,13,0,1,30,37,32
Alaska,02070,Dillingham Census Area,8,5973,1430,72667,1,74,0,0,2,15,7,1,15,41,33,10
Alaska,02090,Fairbanks North Star Borough,3,3277,36199,99732,5,8,3,1,5,69,8,2,4,21,40,35
Alaska,02100,Haines Borough,4,3716,917,84306,0,6,2,0,5,72,14,0,3,31,25,42
