"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Absolute Threshold""Emissions Scenario""Global Warming Level"
"01","Alabama","01001","Autauga","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01003","Baldwin","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01005","Barbour","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01007","Bibb","Point in time GWL is reached","13","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01009","Blount","Point in time GWL is reached","10","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01011","Bullock","Point in time GWL is reached","13","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01013","Butler","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01015","Calhoun","Point in time GWL is reached","10","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01017","Chambers","Point in time GWL is reached","11","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01019","Cherokee","Point in time GWL is reached","10","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01021","Chilton","Point in time GWL is reached","12","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01023","Choctaw","Point in time GWL is reached","16","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01025","Clarke","Point in time GWL is reached","16","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01027","Clay","Point in time GWL is reached","9","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01029","Cleburne","Point in time GWL is reached","8","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01031","Coffee","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01033","Colbert","Point in time GWL is reached","12","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01035","Conecuh","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01037","Coosa","Point in time GWL is reached","11","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01039","Covington","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01041","Crenshaw","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01043","Cullman","Point in time GWL is reached","10","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01045","Dale","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01047","Dallas","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01049","DeKalb","Point in time GWL is reached","6","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01051","Elmore","Point in time GWL is reached","13","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01053","Escambia","Point in time GWL is reached","16","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01055","Etowah","Point in time GWL is reached","10","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01057","Fayette","Point in time GWL is reached","13","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01059","Franklin","Point in time GWL is reached","12","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01061","Geneva","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01063","Greene","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01065","Hale","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01067","Henry","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01069","Houston","Point in time GWL is reached","16","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01071","Jackson","Point in time GWL is reached","8","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01073","Jefferson","Point in time GWL is reached","12","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01075","Lamar","Point in time GWL is reached","14","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01077","Lauderdale","Point in time GWL is reached","12","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01079","Lawrence","Point in time GWL is reached","11","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01081","Lee","Point in time GWL is reached","11","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01083","Limestone","Point in time GWL is reached","11","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01085","Lowndes","Point in time GWL is reached","15","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
"01","Alabama","01087","Macon","Point in time GWL is reached","13","",,"Absolute Threshold: 95 degrees F""Emissions Scenario: SSP5-8.5""1.5 degrees C"
